name,version,license_expression,license_file_metadata,license_files_found,authors,repository,source
adler2,2.0.1,0BSD OR MIT OR Apache-2.0,,LICENSE-0BSD;LICENSE-APACHE;LICENSE-MIT,Jonas Schievink <jonasschievink@gmail.com>; oyvindln <oyvindln@users.noreply.github.com>,https://github.com/oyvindln/adler2,registry+https://github.com/rust-lang/crates.io-index
ahash,0.8.12,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Tom Kaitchuck <Tom.Kaitchuck@gmail.com>,https://github.com/tkaitchuck/ahash,registry+https://github.com/rust-lang/crates.io-index
aho-corasick,1.1.5,Unlicense OR MIT,,COPYING;LICENSE-MIT,Andrew Gallant <jamslam@gmail.com>,https://github.com/BurntSushi/aho-corasick,registry+https://github.com/rust-lang/crates.io-index
alloc-no-stdlib,2.0.4,BSD-3-Clause,,LICENSE,Daniel Reiter Horn <danielrh@dropbox.com>,https://github.com/dropbox/rust-alloc-no-stdlib,registry+https://github.com/rust-lang/crates.io-index
alloc-stdlib,0.2.4,BSD-3-Clause,,,Daniel Reiter Horn <danielrh@dropbox.com>,https://github.com/dropbox/rust-alloc-no-stdlib,registry+https://github.com/rust-lang/crates.io-index
allocator-api2,0.2.21,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Zakarum <zaq.dev@icloud.com>,https://github.com/zakarumych/allocator-api2,registry+https://github.com/rust-lang/crates.io-index
android_system_properties,0.1.6,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Nicolas Silva <nical@fastmail.com>,https://github.com/nical/android_system_properties,registry+https://github.com/rust-lang/crates.io-index
anyhow,1.0.104,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,David Tolnay <dtolnay@gmail.com>,https://github.com/dtolnay/anyhow,registry+https://github.com/rust-lang/crates.io-index
async-broadcast,0.7.2,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Stjepan Glavina <stjepang@gmail.com>; Yoshua Wuyts <yoshuawuyts@gmail.com>; Zeeshan Ali Khan <zeeshanak@gnome.org>,https://github.com/smol-rs/async-broadcast,registry+https://github.com/rust-lang/crates.io-index
async-channel,2.5.0,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,Stjepan Glavina <stjepang@gmail.com>,https://github.com/smol-rs/async-channel,registry+https://github.com/rust-lang/crates.io-index
async-executor,1.14.0,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,Stjepan Glavina <stjepang@gmail.com>; John Nunley <dev@notgull.net>,https://github.com/smol-rs/async-executor,registry+https://github.com/rust-lang/crates.io-index
async-io,2.6.0,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,Stjepan Glavina <stjepang@gmail.com>,https://github.com/smol-rs/async-io,registry+https://github.com/rust-lang/crates.io-index
async-lock,3.4.2,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,Stjepan Glavina <stjepang@gmail.com>,https://github.com/smol-rs/async-lock,registry+https://github.com/rust-lang/crates.io-index
async-process,2.5.0,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,Stjepan Glavina <stjepang@gmail.com>,https://github.com/smol-rs/async-process,registry+https://github.com/rust-lang/crates.io-index
async-recursion,1.1.1,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Robert Usher <266585+dcchut@users.noreply.github.com>,https://github.com/dcchut/async-recursion,registry+https://github.com/rust-lang/crates.io-index
async-signal,0.2.14,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,John Nunley <dev@notgull.net>,https://github.com/smol-rs/async-signal,registry+https://github.com/rust-lang/crates.io-index
async-task,4.7.1,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,Stjepan Glavina <stjepang@gmail.com>,https://github.com/smol-rs/async-task,registry+https://github.com/rust-lang/crates.io-index
async-trait,0.1.92,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,David Tolnay <dtolnay@gmail.com>,https://github.com/dtolnay/async-trait,registry+https://github.com/rust-lang/crates.io-index
atk,0.18.2,MIT,,COPYRIGHT;LICENSE,The gtk-rs Project Developers,https://github.com/gtk-rs/gtk3-rs,registry+https://github.com/rust-lang/crates.io-index
atk-sys,0.18.2,MIT,,LICENSE,The gtk-rs Project Developers,https://github.com/gtk-rs/gtk3-rs,registry+https://github.com/rust-lang/crates.io-index
atomic-waker,1.1.2,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT;LICENSE-THIRD-PARTY,Stjepan Glavina <stjepang@gmail.com>; Contributors to futures-rs,https://github.com/smol-rs/atomic-waker,registry+https://github.com/rust-lang/crates.io-index
autocfg,1.5.1,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,Josh Stone <cuviper@gmail.com>,https://github.com/cuviper/autocfg,registry+https://github.com/rust-lang/crates.io-index
base64,0.13.1,MIT/Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Alice Maz <alice@alicemaz.com>; Marshall Pierce <marshall@mpierce.org>,https://github.com/marshallpierce/rust-base64,registry+https://github.com/rust-lang/crates.io-index
base64,0.21.7,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Alice Maz <alice@alicemaz.com>; Marshall Pierce <marshall@mpierce.org>,https://github.com/marshallpierce/rust-base64,registry+https://github.com/rust-lang/crates.io-index
base64,0.22.1,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Marshall Pierce <marshall@mpierce.org>,https://github.com/marshallpierce/rust-base64,registry+https://github.com/rust-lang/crates.io-index
base64,0.23.1,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Marshall Pierce <marshall@mpierce.org>,https://github.com/marshallpierce/rust-base64,registry+https://github.com/rust-lang/crates.io-index
base64ct,1.8.3,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,RustCrypto Developers,https://github.com/RustCrypto/formats,registry+https://github.com/rust-lang/crates.io-index
bit-set,0.8.0,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,Alexis Beingessner <a.beingessner@gmail.com>,https://github.com/contain-rs/bit-set,registry+https://github.com/rust-lang/crates.io-index
bit-vec,0.8.0,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,Alexis Beingessner <a.beingessner@gmail.com>,https://github.com/contain-rs/bit-vec,registry+https://github.com/rust-lang/crates.io-index
bitflags,1.3.2,MIT/Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The Rust Project Developers,https://github.com/bitflags/bitflags,registry+https://github.com/rust-lang/crates.io-index
bitflags,2.13.2,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,The Rust Project Developers,https://github.com/bitflags/bitflags,registry+https://github.com/rust-lang/crates.io-index
block-buffer,0.10.4,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,RustCrypto Developers,https://github.com/RustCrypto/utils,registry+https://github.com/rust-lang/crates.io-index
block2,0.6.2,MIT,,,Mads Marquart <mads@marquart.dk>,https://github.com/madsmtm/objc2,registry+https://github.com/rust-lang/crates.io-index
blocking,1.7.0,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/smol-rs/blocking,registry+https://github.com/rust-lang/crates.io-index
brotli,8.0.4,BSD-3-Clause AND MIT,,LICENSE.BSD-3-Clause;LICENSE.MIT,Daniel Reiter Horn <danielrh@dropbox.com>; The Brotli Authors,https://github.com/dropbox/rust-brotli,registry+https://github.com/rust-lang/crates.io-index
brotli-decompressor,5.0.3,BSD-3-Clause/MIT,,LICENSE,Daniel Reiter Horn <danielrh@dropbox.com>; The Brotli Authors,https://github.com/dropbox/rust-brotli-decompressor,registry+https://github.com/rust-lang/crates.io-index
bs58,0.5.1,MIT/Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/Nullus157/bs58-rs,registry+https://github.com/rust-lang/crates.io-index
bumpalo,3.20.3,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Nick Fitzgerald <fitzgen@gmail.com>,https://github.com/fitzgen/bumpalo,registry+https://github.com/rust-lang/crates.io-index
bytemuck,1.25.2,Zlib OR Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT;LICENSE-ZLIB,Lokathor <zefria@gmail.com>,https://github.com/Lokathor/bytemuck,registry+https://github.com/rust-lang/crates.io-index
byteorder,1.5.0,Unlicense OR MIT,,COPYING;LICENSE-MIT,Andrew Gallant <jamslam@gmail.com>,https://github.com/BurntSushi/byteorder,registry+https://github.com/rust-lang/crates.io-index
bytes,1.12.1,MIT,,LICENSE,Carl Lerche <me@carllerche.com>; Sean McArthur <sean@seanmonstar.com>,https://github.com/tokio-rs/bytes,registry+https://github.com/rust-lang/crates.io-index
cairo-rs,0.18.5,MIT,,COPYRIGHT;LICENSE,The gtk-rs Project Developers,https://github.com/gtk-rs/gtk-rs-core,registry+https://github.com/rust-lang/crates.io-index
cairo-sys-rs,0.18.2,MIT,,LICENSE,The gtk-rs Project Developers,https://github.com/gtk-rs/gtk-rs-core,registry+https://github.com/rust-lang/crates.io-index
camino,1.2.6,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Without Boats <saoirse@without.boats>; Ashley Williams <ashley666ashley@gmail.com>; Steve Klabnik <steve@steveklabnik.com>; Rain <rain@sunshowers.io>,https://github.com/camino-rs/camino,registry+https://github.com/rust-lang/crates.io-index
cargo-platform,0.1.9,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/rust-lang/cargo,registry+https://github.com/rust-lang/crates.io-index
cargo_metadata,0.19.2,MIT,,LICENSE-MIT,Oliver Schneider <git-spam-no-reply9815368754983@oli-obk.de>,https://github.com/oli-obk/cargo_metadata,registry+https://github.com/rust-lang/crates.io-index
cargo_toml,0.22.3,Apache-2.0 OR MIT,,LICENSE,Kornel <kornel@geekhood.net>,https://gitlab.com/lib.rs/cargo_toml,registry+https://github.com/rust-lang/crates.io-index
castaway,0.2.4,MIT,,LICENSE,Stephen M. Coakley <me@stephencoakley.com>,https://github.com/sagebind/castaway,registry+https://github.com/rust-lang/crates.io-index
cc,1.4.7,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,,https://github.com/rust-lang/cc-rs,registry+https://github.com/rust-lang/crates.io-index
cesu8,1.1.0,Apache-2.0/MIT,,COPYRIGHT-RUST.txt,Eric Kidd <git@randomhacks.net>,https://github.com/emk/cesu8-rs,registry+https://github.com/rust-lang/crates.io-index
cfb,0.7.3,MIT,,LICENSE,Matthew D. Steele <mdsteele@alum.mit.edu>,https://github.com/mdsteele/rust-cfb,registry+https://github.com/rust-lang/crates.io-index
cfg-expr,0.15.8,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Embark <opensource@embark-studios.com>; Jake Shadle <jake.shadle@embark-studios.com>,https://github.com/EmbarkStudios/cfg-expr,registry+https://github.com/rust-lang/crates.io-index
cfg-if,1.0.5,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Alex Crichton <alex@alexcrichton.com>,https://github.com/rust-lang/cfg-if,registry+https://github.com/rust-lang/crates.io-index
chrono,0.4.45,MIT OR Apache-2.0,,LICENSE.txt,,https://github.com/chronotope/chrono,registry+https://github.com/rust-lang/crates.io-index
combine,4.6.8,MIT,,LICENSE,Markus Westerlind <marwes91@gmail.com>,https://github.com/Marwes/combine,registry+https://github.com/rust-lang/crates.io-index
compact_str,0.9.1,MIT,,LICENSE,Parker Timmerman <parker@parkertimmerman.com>,https://github.com/ParkMyCar/compact_str,registry+https://github.com/rust-lang/crates.io-index
concurrent-queue,2.5.0,Apache-2.0 OR MIT,,LICENSE-APACHE;LICENSE-MIT,Stjepan Glavina <stjepang@gmail.com>; Taiki Endo <te316e89@gmail.com>; John Nunley <dev@notgull.net>,https://github.com/smol-rs/concurrent-queue,registry+https://github.com/rust-lang/crates.io-index
console,0.16.6,MIT,,LICENSE,,https://github.com/console-rs/console,registry+https://github.com/rust-lang/crates.io-index
cookie,0.18.2,MIT OR Apache-2.0,,LICENSE-APACHE;LICENSE-MIT,Sergio Benitez <sb@sergio.bz>; Alex Crichton <alex@alexcrichton.com>,https://github.com/SergioBenitez/cookie-rs,registry+https://github.com/rust-lang/crates.io-index
